PID,TID,FULLNAME,POS,AGE,GP,MPG,MIN,USG,Tor,FTA,FT,PA2,P2,PA3,P3,EFG,TS,PPG,RPG,TRB,APG,AST,SPG,BPG,TOPG,VI,ORTG,DRTG
135,Por,Seth Curry,G,28,54,17.3,36,15,11.5,19,0.895,131,0.42,152,0.474,0.576,0.589,6.4,1.4,4.2,1,7.8,0.37,0.15,0.7,4.8,112.6,107.7
136,Gol,Stephen Curry,G,30,49,34.3,71.5,30.3,11.5,224,0.92,388,0.544,572,0.446,0.618,0.658,28.4,5.2,8.1,5.3,24.3,1.29,0.39,2.82,10.7,122.6,106.6
137,Pho,Troy Daniels,G,27,31,13.1,27.3,18.7,10.8,17,0.765,41,0.512,109,0.394,0.57,0.584,5.9,1.1,4.6,0.4,4.5,0.55,0.06,0.61,4.2,104.5,110.6
138,Nor,Anthony Davis,F-C,25,47,35.3,73.5,29.6,7.8,409,0.802,784,0.541,129,0.318,0.532,0.594,27.6,12.7,18.7,4.1,18.9,1.62,2.51,1.98,12.8,123,104.1
139,Bro,Ed Davis,C,29,61,18.4,38.3,13,15.6,120,0.6,237,0.629,2,0,0.623,0.634,6.1,8.7,25.2,0.8,6.6,0.48,0.44,0.89,7.6,127.9,92.4
140,Okc,Tyler Davis,C,21,1,0.9,1.9,45.1,0,0,0,1,0,0,0,0,0,0,1,57.5,0,0,0,0,0,0,,
141,Atl,Dewayne Dedmon,C,29,51,25,52.1,16.9,13.8,88,0.852,247,0.563,171,0.38,0.566,0.6,10.7,7.1,15.3,1.4,8,1,1.16,1.43,7.6,113.6,101.2
142,Cle,Sam Dekker,F,24,9,18.8,39.2,14.8,8.7,10,0.8,35,0.486,13,0.385,0.51,0.544,6.3,3.7,10.8,1,7.9,1.22,0,0.56,6.1,113.9,108.6
143,Was,Sam Dekker,F,24,27,15.9,33.2,17,7,20,0.5,122,0.566,29,0.276,0.536,0.538,6.4,3.2,11.1,0.9,8.1,0.78,0.26,0.44,6.6,111.8,111.3
144,Lac,Angel Delgado,C,24,1,13.6,28.3,15.2,0,2,0.5,4,0.25,0,0,0.25,0.307,3,4,15.7,0,0,1,0,0,0,91.6,96.7
145,Mil,Matthew Dellavedova,G,28,12,8.1,16.9,13.8,34.6,4,1,8,0.25,11,0.364,0.421,0.482,1.7,0.8,5.3,2.4,35.6,0.17,0,0.92,7.3,99.2,100
146,Cle,Matthew Dellavedova,G,28,32,20.1,42,18.5,19.4,46,0.783,93,0.516,107,0.346,0.518,0.552,7.6,1.9,5.3,4.4,32.7,0.31,0.06,1.66,7.9,109.2,111.4
147,Min,Luol Deng,F,33,21,18.3,38.1,16,9.6,35,0.714,74,0.608,43,0.326,0.564,0.593,7.5,3.4,9.9,0.9,6.7,0.67,0.38,0.67,6.2,117.3,108.5
148,San,DeMar DeRozan,G,29,57,35.2,73.3,28.6,11.4,331,0.831,972,0.481,41,0.171,0.472,0.532,21.6,6.1,9.5,6.1,27.1,1,0.49,2.61,10.6,108.2,107.7
149,Gol,Marcus Derrickson,F,23,9,6,12.5,22.6,10.4,4,0.75,10,0.5,14,0.357,0.521,0.543,3.1,0.9,7.9,0.1,2.5,0,0.11,0.33,4.4,106,100.9
150,Nor,Cheick Diallo,F,22,44,11.9,24.7,15.8,15,51,0.725,145,0.648,2,0,0.639,0.664,5.1,4.3,19.1,0.3,4,0.41,0.59,0.68,6.3,121.2,99.6
151,Okc,Hamidou Diallo,G,20,45,11.4,23.8,16.6,11,59,0.61,138,0.514,23,0.174,0.478,0.508,4.2,2.1,9.4,0.4,4.4,0.44,0.22,0.51,5.3,104.2,96.1
152,Min,Gorgui Dieng,C,29,57,13.4,27.8,17.3,11.1,66,0.879,209,0.531,42,0.31,0.52,0.57,5.6,4.1,16.4,0.9,9.5,0.53,0.51,0.61,8.2,116.3,96.9
153,Bro,Spencer Dinwiddie,G,25,49,28.5,59.5,24.7,13.8,249,0.795,334,0.536,262,0.366,0.542,0.598,17.2,2.5,4.6,5,28.1,0.57,0.22,2.31,8.4,116.8,105.4
154,Mil,Donte DiVincenzo,G,22,23,15.6,32.4,15.3,13.9,11,0.818,38,0.658,69,0.246,0.472,0.492,4.8,2.4,8.1,1.2,9.7,0.52,0.26,0.78,6.2,98.6,98.5
155,Dal,Luka Doncic,G-F,20,56,32.2,67.2,29.3,15.1,361,0.726,498,0.494,392,0.352,0.509,0.557,20.9,7.2,12,5.7,29.9,1.04,0.29,3.32,11.8,108.5,104.8
156,Atl,Tyler Dorsey,G,23,27,9.3,19.3,18,9.1,26,0.615,50,0.44,39,0.256,0.416,0.448,3.3,1.6,9.2,0.6,9.5,0.26,0.04,0.37,6.3,95.7,110.3
157,Mem,Tyler Dorsey,G,23,2,8.8,18.3,25.4,10.1,2,0.5,4,0.75,4,0.5,0.75,0.732,6.5,2,12.9,0.5,11.7,0.5,0,0.5,8.5,129.2,98.6
158,Nyk,Damyean Dotson,G,24,51,25.1,52.4,16.8,7.5,66,0.712,233,0.459,208,0.389,0.518,0.536,9.9,3.5,7.3,1.5,8.8,0.84,0.14,0.75,5.9,108.8,109.7
159,Bos,PJ Dozier,G-F,22,4,2.5,5.3,25.6,0,0,0,4,0.5,2,0.5,0.583,0.583,1.8,1,21.1,0,0,0,0,0,0,,
160,Mia,Goran Dragic,G,32,16,27.9,58.1,25.3,14.3,50,0.76,132,0.47,73,0.301,0.463,0.502,14.3,2.7,5.1,4.5,25.7,0.63,0.25,2.38,8,101,106.2
161,Det,Andre Drummond,C,25,56,33.1,69.1,23.7,12.4,286,0.563,742,0.549,33,0.121,0.533,0.548,17.6,15.2,24.9,1.2,6,1.68,1.79,2.29,8.3,110.2,95.5
162,Bro,Jared Dudley,F,33,44,21.6,45,10.8,15.3,35,0.629,69,0.551,121,0.322,0.508,0.523,4.9,2.7,6.7,1.5,9.2,0.64,0.3,0.84,5,104,102.7
163,Chi,Kris Dunn,G,24,33,31,64.6,20.2,17.4,51,0.784,306,0.454,60,0.317,0.458,0.483,11.4,4.1,7.2,6.3,30.8,1.42,0.48,2.48,8.6,97.1,103.1
164,Gol,Kevin Durant,F,30,60,35.5,73.9,29.9,12.1,418,0.892,821,0.571,307,0.368,0.566,0.629,27.5,7,10.5,5.8,25.5,0.8,1.18,3.02,11.7,120.7,108
165,Mil,Trevon Duval,G,20,3,1.9,3.9,22.6,0,0,0,2,0.5,1,1,0.833,0.833,1.7,0.3,9.2,0.7,66,0,0,0,14.9,,
166,Hou,Vincent Edwards,F,22,2,7.9,16.4,11,0,0,0,0,0,4,0.25,0.375,0.375,1.5,1,7.1,0,0,0,0,0,0,95.8,120.5
167,Det,Henry Ellenson,F,22,2,12.4,25.8,18.8,0,2,1,6,0.333,4,0.5,0.5,0.551,6,4.5,19.8,0.5,6.3,0,0,0,7.7,120,99.8
168,Nyk,Henry Ellenson,F,22,1,3.6,7.5,11.8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,
169,Mia,Wayne Ellington,G,31,25,21.3,44.4,16.4,6.8,16,0.875,29,0.414,155,0.368,0.53,0.547,8.4,1.9,4.7,1.2,7.9,0.96,0.12,0.56,5,110.8,105
170,Det,Wayne Ellington,G,31,5,27.7,57.7,15.8,7.8,3,0.667,5,0.6,41,0.293,0.457,0.465,8.8,2.6,5.1,1,5.2,0.6,0,0.8,4.1,93.2,104.4
171,Phi,Joel Embiid,F-C,24,54,33.7,70.3,33.1,13.6,546,0.811,785,0.534,217,0.295,0.514,0.593,27.3,13.5,21.4,3.5,17.5,0.59,1.94,3.61,12.9,113.1,98.2
172,Hou,James Ennis III,F,28,40,23.7,49.4,11.9,9.2,58,0.724,91,0.659,120,0.367,0.597,0.622,7.4,2.9,6.9,0.7,4.1,0.95,0.4,0.6,4.2,123.7,104.9
173,Phi,James Ennis III,F,28,5,10.9,22.8,13,11.8,2,1,7,0.143,7,0.286,0.286,0.336,2,1,4.9,0.8,9.1,0.2,0,0.4,4.3,75.5,103.3
174,San,Drew Eubanks,F,22,15,4.9,10.2,16.6,14.4,11,0.818,19,0.737,0,0,0.737,0.776,2.5,1.1,11.9,0.2,6,0.07,0.13,0.27,6.7,133.2,104.2
175,Gol,Jacob Evans,G,21,23,4.3,9,13.4,19.1,1,0,19,0.263,6,0.167,0.26,0.256,0.6,0.4,4.8,0.6,15.3,0.04,0.04,0.26,4.9,67.1,103.5
176,Pho,Jawun Evans,G,22,7,9.1,19,12.8,31.6,0,0,11,0.273,2,0,0.231,0.231,0.9,1.7,10.6,1.4,20.2,0.43,0,0.86,5.7,59.9,104.1
177,Ind,Tyreke Evans,G,29,54,20.2,42,26.3,14.3,117,0.761,333,0.402,178,0.36,0.45,0.488,10.2,2.7,7.6,2.4,17.3,0.94,0.3,1.74,8,94.8,100.5
178,Uta,Dante Exum,G,23,39,16.3,34,21.2,14.6,86,0.791,173,0.48,59,0.305,0.474,0.534,7.4,1.7,5.6,2.7,25.3,0.36,0.13,1.18,7.9,108.1,101.3
179,Bro,Kenneth Faried,F-C,29,12,9.8,20.4,19.7,10.9,16,0.625,37,0.649,5,0.2,0.607,0.622,5.1,3.7,19.9,0.2,2.8,0.17,0.33,0.5,6.4,120.5,103.8
180,Hou,Kenneth Faried,F-C,29,15,29.2,60.9,20.3,9.2,60,0.617,148,0.615,13,0.462,0.621,0.632,15.8,9.9,19.1,1.1,6.3,0.67,1,1.27,7.6,129.3,102.6
181,Uta,Derrick Favors,F-C,27,58,23.2,48.4,18.8,10.7,171,0.661,389,0.632,64,0.219,0.589,0.612,11.2,7.2,16.9,1.1,7.3,0.72,1.38,1.09,7.7,122.2,98.6
182,Chi,Cristiano Felicio,F-C,26,39,10.3,21.4,13.9,14.1,37,0.676,91,0.549,2,0,0.538,0.572,3.2,2.8,15,0.5,6.9,0.13,0.1,0.46,6.4,115.5,106.1
183,Okc,Raymond Felton,G,34,18,12,25,20.1,10.3,11,0.909,54,0.5,37,0.27,0.462,0.49,5.2,1.3,5.5,1.9,22.4,0.44,0.22,0.61,7.8,106.2,104
184,Okc,Terrance Ferguson,G,20,51,24.6,51.2,11,8,28,0.643,106,0.538,193,0.383,0.562,0.569,6.9,1.8,3.7,0.8,4.1,0.57,0.24,0.53,3.5,113.6,100.1
185,Sac,Yogi Ferrell,G,25,50,15,31.3,15.9,7.9,47,0.872,142,0.493,104,0.365,0.516,0.553,5.9,1.6,5.5,2,17.9,0.54,0.08,0.46,7.1,117.6,110.7
186,Dal,Dorian Finney-Smith,F,25,60,25.5,53.2,13.6,12.3,84,0.679,206,0.563,183,0.333,0.533,0.554,7.9,4.9,10.3,0.9,5.3,1.02,0.5,1,5.1,110.9,102.5
187,San,Bryn Forbes,G,25,62,28.6,59.5,17.9,9.2,67,0.91,305,0.472,323,0.402,0.54,0.562,11.9,2.9,5.5,2.2,10.8,0.6,0.05,1.08,5.9,108.9,108.8
188,Orl,Evan Fournier,G-F,26,60,31.6,65.7,22.4,12.4,128,0.797,447,0.503,346,0.335,0.503,0.53,15,3.1,5.3,3.6,17.8,0.87,0.15,2,7,102.3,103.8
189,Sac,De'Aaron Fox,G,21,59,31.5,65.6,24.7,15.8,307,0.723,630,0.479,174,0.374,0.497,0.544,17.3,3.6,5.9,7.2,32.7,1.69,0.54,2.98,9.7,108.5,106.4
190,Orl,Melvin Frazier Jr.,G-F,22,7,4.6,9.5,20.5,6.7,0,0,11,0.545,3,0,0.429,0.429,1.7,0.4,5,0,0,0.14,0,0.14,0,86.3,101.2
191,Nor,Tim Frazier,G,28,47,19.3,40.3,12.4,21.7,41,0.78,118,0.517,77,0.351,0.521,0.552,5,2.9,7.9,4.4,28.1,0.53,0.09,1.26,8.3,115.8,106.2
192,Cle,Channing Frye,F-C,35,29,9.5,19.7,16.6,9.6,12,0.75,29,0.276,60,0.4,0.494,0.514,3.3,1.5,8.7,0.6,8.5,0.17,0.14,0.34,6.1,103.4,105.9
193,Phi,Markelle Fultz,G,20,19,22.5,46.8,19.3,12.7,37,0.568,141,0.433,14,0.286,0.432,0.452,8.2,3.6,8.7,3.1,19.6,0.95,0.26,1.32,8,99.3,100.3
194,Lac,Danilo Gallinari,F,30,51,30.6,63.7,22.8,8.7,286,0.909,359,0.462,282,0.436,0.547,0.627,18.8,5.9,10.3,2.4,12.1,0.73,0.35,1.43,8.4,123.4,107.4
195,Det,Langston Galloway,G,27,57,20.9,43.5,16.1,4,59,0.814,138,0.478,266,0.335,0.494,0.52,7.8,2.3,5.9,1,7.4,0.46,0.09,0.32,5,112.3,106.1
196,Mem,Marc Gasol,C,34,53,33.7,70.3,22.5,13.4,201,0.756,462,0.491,221,0.344,0.499,0.541,15.7,8.6,14.5,4.7,23,1.13,1.21,2.25,10.2,106.1,100.4
197,Tor,Marc Gasol,C,34,5,20.1,42,23.4,14.4,10,0.6,40,0.475,3,0.667,0.512,0.527,10,6.2,16.6,3.2,24.1,1,0.8,1.6,11.6,108.3,93.4
198,San,Pau Gasol,C-F,38,27,12.2,25.5,15.8,11.8,38,0.711,78,0.462,10,0.5,0.494,0.544,4.2,4.7,21.1,1.9,20.3,0.19,0.52,0.52,11,120.3,102.3
199,San,Rudy Gay,F,32,51,27.1,56.4,22,12,105,0.857,430,0.544,133,0.429,0.567,0.598,14.3,6.4,13,2.6,14.4,0.84,0.59,1.63,9.1,113.5,103.5
200,Okc,Paul George,F,28,58,36.6,76.2,29.6,9.8,402,0.843,659,0.493,559,0.403,0.544,0.596,28.7,8.1,11.4,4.2,18.1,2.22,0.45,2.6,10.8,118.9,100.1
201,Min,Taj Gibson,F,33,59,25,52.1,16.6,11,141,0.759,425,0.576,33,0.333,0.571,0.606,10.7,6.6,14.1,1.2,6.9,0.8,0.56,1.08,7,121.9,102.8
202,Sac,Harry Giles III,F-C,20,47,13.1,27.3,22.5,16.6,70,0.643,245,0.506,5,0,0.496,0.522,6.2,3.6,14.1,1.3,14.3,0.55,0.32,1.19,9.4,100.5,91.3
203,Lac,Shai Gilgeous-Alexander,G,20,62,25.6,53.3,18.2,16.8,140,0.807,409,0.489,97,0.309,0.484,0.531,9.7,2.7,5.5,3,16.8,1.1,0.56,1.85,6.7,101.9,107.5
204,Uta,Rudy Gobert,C,26,59,31.8,66.3,17.5,12.4,365,0.66,509,0.654,0,0,0.654,0.677,15.4,12.9,22.1,2.2,10.7,0.9,2.15,1.61,9.5,133.5,97.1
205,Den,Brandon Goodwin,G,23,16,3.6,7.4,23,9.7,11,0.818,17,0.235,6,0.333,0.304,0.413,1.4,0.2,2.9,0.9,31.6,0,0,0.19,7,,
206,Orl,Aaron Gordon,F,23,57,33.4,69.6,21.9,12.1,194,0.722,498,0.498,254,0.335,0.499,0.532,15.6,7.2,11.7,3.6,16.5,0.74,0.68,2.02,8.9,106.1,104.3
207,Hou,Eric Gordon,G,30,48,32.5,67.8,22.7,8.5,127,0.803,279,0.491,417,0.324,0.488,0.519,16.3,2.5,4.3,2.1,10.3,0.6,0.44,1.46,5.4,104.6,111.9
208,Lac,Marcin Gortat,C,35,47,16,33.3,14.5,19.4,48,0.729,186,0.532,0,0,0.532,0.562,5,5.6,18.6,1.4,12.2,0.13,0.51,1.06,8.5,110.4,99.6
209,Cha,Devonte' Graham,G,24,31,13,27.1,17.1,13.1,22,0.727,55,0.455,75,0.307,0.458,0.483,4.4,1.2,4.9,2.2,23.2,0.55,0.06,0.68,7,103.1,107.6
210,Bro,Treveon Graham,F,25,23,22.2,46.2,12.3,9.4,18,0.778,43,0.442,84,0.274,0.421,0.448,5.3,2.9,6.9,1,6.4,0.35,0.22,0.61,4.5,96.9,104
211,Okc,Donte Grantham,F,23,1,1.6,3.3,25.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,
212,Okc,Jerami Grant,F,24,57,32.3,67.4,14.6,7.1,168,0.696,364,0.582,178,0.382,0.579,0.605,13.1,5.1,8.2,0.9,3.8,0.91,1.37,0.82,4.9,120.8,102.8
213,Orl,Jerian Grant,G,26,49,16.6,34.6,13.2,18.4,32,0.688,96,0.469,90,0.333,0.484,0.505,4.1,1.8,5.7,2.8,23.3,0.82,0.1,0.92,6.6,105.6,103.3
214,Tor,Danny Green,G-F,31,59,28.7,59.8,13.5,10,31,0.903,156,0.494,314,0.43,0.595,0.607,9.9,4.2,7.8,1.4,6.6,0.88,0.73,0.92,5.4,116.7,104.1
215,Gol,Draymond Green,F,28,45,31.1,64.8,13.3,27,65,0.708,178,0.551,113,0.248,0.481,0.51,7.2,7.5,12.9,7.3,28.5,1.49,1.07,2.62,9.4,107.3,100.5
216,Hou,Gerald Green,G-F,33,56,21.2,44.1,19.1,8,49,0.796,110,0.609,350,0.354,0.55,0.566,9.7,2.6,6.9,0.6,4.5,0.38,0.41,0.75,4.7,110.1,108.6
217,Mem,JaMychal Green,F,28,41,21.9,45.7,20.6,15.6,80,0.788,216,0.523,96,0.396,0.545,0.58,9.8,6.1,15.9,0.9,6.6,0.8,0.63,1.56,6.9,106,94.6
218,Lac,JaMychal Green,F,28,6,19.5,40.6,15.8,13.8,8,0.75,14,0.571,20,0.5,0.676,0.693,8.7,6.7,18.3,0.5,3.7,0.83,0.67,1,6.3,122,94.4
219,Was,Jeff Green,F,32,58,27.8,57.9,17.7,11.6,149,0.899,282,0.564,244,0.365,0.556,0.608,12.4,4.4,8.8,2,10.2,0.48,0.53,1.34,6.9,115.6,110.6
220,Det,Blake Griffin,F,29,57,36,74.9,30.4,14.4,444,0.748,661,0.539,391,0.366,0.542,0.59,25.8,8,12.1,5.4,27,0.7,0.4,3.67,11.5,113.1,103.2
221,Atl,Daniel Hamilton,G-F,23,19,10.7,22.4,15.7,20.3,6,0.5,37,0.405,23,0.348,0.45,0.455,3,2.5,12.3,1.2,14.8,0.32,0.05,0.84,7.8,90.6,107.5
222,Nyk,Tim Hardaway Jr.,G,26,46,32.6,67.9,25.7,8.9,233,0.854,389,0.424,337,0.347,0.469,0.531,19.1,3.5,5.6,2.7,13.3,0.91,0.13,1.76,6.9,106.9,111
223,Dal,Tim Hardaway Jr.,G,26,8,29.1,60.7,25.2,9.5,25,0.76,53,0.528,60,0.317,0.5,0.532,16.5,3.4,6.2,2.1,12.2,0.63,0.13,1.63,6.7,103.8,108.1
224,Hou,James Harden,G,29,56,37.4,77.8,40.2,15.6,643,0.871,608,0.531,753,0.367,0.542,0.619,36.3,6.6,9.9,7.6,39.5,2.16,0.73,5.43,13.1,117.7,105
225,Por,Maurice Harkless,F,25,40,21.7,45.2,13.1,10.8,34,0.676,148,0.554,77,0.299,0.518,0.533,6.4,4,9.8,0.9,5.7,0.98,0.85,0.73,5.2,109.7,99.1
226,Lac,Montrezl Harrell,F-C,25,62,26.3,54.7,22.7,10.3,311,0.627,635,0.638,11,0.091,0.629,0.644,16.3,6.5,13.2,1.9,11.9,0.9,1.4,1.45,8.9,125,101.4
227,Dal,Devin Harris,G,36,48,15.1,31.4,18.3,12,89,0.764,99,0.545,134,0.306,0.496,0.549,6.2,1.5,5.5,1.4,13.9,0.6,0.23,0.77,6.2,108.4,100.7
228,Den,Gary Harris,G,24,34,29.4,61.2,21.6,7.7,100,0.8,258,0.496,166,0.319,0.489,0.529,14.6,2.9,5.4,2.6,12.9,0.97,0.41,1.15,6.5,110.4,106.5
229,Bro,Joe Harris,G-F,27,57,30.1,62.8,17.1,12.5,95,0.853,275,0.535,293,0.478,0.629,0.652,13.9,3.6,6.4,2.6,13,0.49,0.19,1.53,6.7,121.2,106.2
230,Mem,Andrew Harrison,G,24,1,4.5,9.4,20.1,0,0,0,1,1,1,0,0.5,0.5,2,0,0,0,0,0,0,0,0,96.2,93.1
231,Cle,Andrew Harrison,G,24,10,14.4,29.9,17.1,17.8,16,1,25,0.36,14,0.214,0.346,0.467,4.3,1.5,5.8,1.7,16.5,0.4,0.2,1,6.2,96.8,101
232,Nor,Andrew Harrison,G,24,6,6.3,13,16.4,13.4,2,0.5,2,0.5,10,0.2,0.333,0.349,1.5,0.8,7,1.2,22.6,0,0,0.33,7.2,91.3,100
233,Chi,Shaquille Harrison,G,25,52,17.2,35.9,15.8,11.8,82,0.634,184,0.446,65,0.262,0.432,0.468,5.1,2.6,8.2,1.7,13.7,1.19,0.37,0.73,6.6,96.6,103.9
234,Lac,Tobias Harris,F,26,55,34.6,72.1,23.6,10.3,219,0.877,596,0.523,258,0.434,0.562,0.606,20.9,7.8,12.1,2.7,12.7,0.73,0.44,1.98,8.8,114.8,106.4
235,Phi,Tobias Harris,F,26,7,34.4,71.6,20.5,6.8,24,0.792,56,0.679,43,0.372,0.626,0.653,20.4,8.1,12.7,2.6,11.8,0.29,0.86,1.14,8.8,125.9,104.6
236,Hou,Isaiah Hartenstein,F-C,20,27,8.2,17,11.8,21.6,14,0.786,35,0.514,6,0.333,0.512,0.562,2,1.7,12,0.5,8.9,0.26,0.44,0.48,5.8,113.5,89.4
237,Lal,Josh Hart,G,23,57,25.9,54,13.9,11.1,72,0.681,168,0.512,243,0.333,0.505,0.524,8.1,3.9,7.7,1.4,7.1,1,0.61,0.96,5.5,102.6,103.8
238,Mia,Udonis Haslem,F,38,4,3.7,7.7,23.1,25,0,0,4,0.5,2,0,0.333,0.333,1,1.5,21.6,0,0,0,0,0.5,0,,
239,Bos,Gordon Hayward,F,28,54,26,54.1,19.1,13,128,0.852,292,0.503,193,0.337,0.504,0.552,11.1,4.6,9.4,3.5,18.6,0.89,0.33,1.5,8.7,112,105.2
240,Mil,John Henson,F,28,14,13.5,28,18.7,14.4,10,0.6,36,0.556,31,0.355,0.545,0.553,5.6,5.1,19.5,1,10.1,0.5,0.79,0.86,9.1,108.7,94.8
241,Den,Juancho Hernangomez,F,23,56,22.1,46.1,12.4,9.4,84,0.762,125,0.552,165,0.388,0.569,0.603,7,4.4,10.9,0.9,5,0.43,0.41,0.61,5.5,122,106.6
242,Cha,Willy Hernangomez,C,24,45,13.7,28.6,22.8,13.7,111,0.676,204,0.525,30,0.433,0.541,0.58,7.3,5.6,21.8,0.9,10.4,0.24,0.33,1,9.7,116.8,98.8
243,Nyk,Mario Hezonja,F,24,48,19.1,39.8,20.5,12.6,77,0.701,234,0.457,119,0.277,0.443,0.474,7.6,3.7,10.1,1,8.2,0.94,0.13,1.17,6.4,91.7,105.3
244,Nyk,Isaiah Hicks,F,24,1,3.6,7.5,10.4,0,2,0.5,0,0,0,0,,0.568,1,0,0,1,34.7,0,0,0,0,,
245,Sac,Buddy Hield,G,25,60,31.6,65.9,24.9,10.3,134,0.851,517,0.499,453,0.448,0.58,0.602,20.7,5.2,8.5,2.3,11.2,0.55,0.37,1.97,7.9,113.5,108.2
246,Phi,Haywood Highsmith,F,22,2,4.4,9.2,9.5,0,0,0,0,0,2,0.5,0.75,0.75,1.5,0.5,6.1,1,30.6,0,0,0,8.3,171.3,114.9
247,Cle,George Hill,G,32,13,26.5,55.2,17.3,14.7,20,0.85,79,0.532,28,0.464,0.575,0.604,10.8,2.1,4.3,2.8,16.3,0.92,0.08,1.54,6,115.4,110.3
248,Mil,George Hill,G,32,34,20.4,42.4,12.9,9.5,37,0.811,89,0.517,86,0.279,0.469,0.507,5.7,2.6,6.6,2.2,13.4,0.91,0.18,0.59,6.3,111.3,101.2
249,Nor,Solomon Hill,F,27,35,20.3,42.4,9.5,14,27,0.704,59,0.508,70,0.286,0.465,0.493,4,3.1,8,1.3,7.4,0.51,0.23,0.66,5,105.1,108.2
250,Ind,Aaron Holiday,G,22,37,11.8,24.7,23.1,11.2,34,0.882,96,0.469,95,0.295,0.455,0.495,5.5,1.5,6.9,1.5,18.1,0.38,0.32,0.7,7.8,100.1,98.6
251,Nor,Jrue Holiday,G,28,62,36.1,75.2,25.3,14.1,260,0.765,734,0.537,329,0.322,0.52,0.554,21,5,7.3,7.9,32,1.65,0.85,3.11,10.4,111.7,109.7
252,Chi,Justin Holiday,G,29,38,34.9,72.6,15.3,10.2,46,0.891,124,0.435,270,0.359,0.506,0.531,11.6,4.4,7,2.2,9.2,1.74,0.58,1.24,5.5,103.1,109.2
253,Mem,Justin Holiday,F-G,29,24,28.6,59.5,16.3,13.4,27,0.889,106,0.406,96,0.281,0.413,0.447,8,3.5,6.9,1.6,8.3,1,0.29,1.38,5,85.9,106.4
254,Cle,John Holland,G,30,1,0.7,1.5,0,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,
255,Bro,Rondae Hollis-Jefferson,F,24,49,22.3,46.4,20.9,10.2,157,0.65,372,0.43,45,0.2,0.416,0.462,9.2,5.3,12.8,1.7,11.2,0.69,0.47,1.12,7.8,98.9,103
256,Pho,Richaun Holmes,F-C,25,56,16.5,34.4,17.3,11.3,128,0.719,273,0.648,0,0,0.648,0.677,8,4.5,15.4,0.8,8,0.55,1.14,0.75,7.4,130.7,100.2
257,Cle,Rodney Hood,G,26,45,27.4,57.1,19.1,6.7,114,0.912,302,0.46,152,0.362,0.488,0.542,12.2,2.5,5,2,11.6,0.84,0.11,0.8,5.7,113.3,112
258,Por,Rodney Hood,G,26,7,21.6,45.1,13.2,2.1,3,0.333,27,0.556,18,0.389,0.567,0.561,7.4,1.4,3.5,0.9,5.5,0.86,0.29,0.14,3.9,117.8,106.6
259,Bos,Al Horford,F-C,32,50,28.8,59.9,18.8,12.3,56,0.804,367,0.591,158,0.367,0.579,0.594,13.1,6.9,12.8,4,20.3,0.88,1.46,1.54,9.9,120.4,103.4
260,Hou,Danuel House Jr.,F-G,25,25,24.8,51.7,14.1,11.4,55,0.818,55,0.582,100,0.39,0.584,0.631,9,3.6,8,1,6.1,0.56,0.4,0.92,5.1,122.5,109.9
261,Was,Dwight Howard,C,33,9,25.5,53.1,19.7,15.1,48,0.604,69,0.623,0,0,0.623,0.638,12.8,9.2,19.9,0.4,2.6,0.78,0.44,1.78,5.7,116.5,98.4
262,Atl,Kevin Huerter,G,20,55,27.2,56.7,15.1,15.7,47,0.745,200,0.46,248,0.387,0.527,0.541,9.2,3.2,6.3,2.8,14.3,0.89,0.35,1.58,6.4,104.6,111.8
263,Chi,Chandler Hutchison,F,22,44,20.3,42.4,12.3,10,38,0.605,159,0.516,50,0.28,0.493,0.507,5.2,4.2,11.3,0.8,5.4,0.52,0.14,0.57,5.1,101.7,108.4
264,Tor,Serge Ibaka,F-C,29,57,28.7,59.9,22.9,11,151,0.775,580,0.586,139,0.259,0.548,0.576,15.9,8.1,15.1,1.5,8.3,0.47,1.26,1.7,8.1,112.3,99.4
265,Gol,Andre Iguodala,G-F,35,53,23.7,49.5,10.6,12.5,60,0.583,130,0.623,117,0.35,0.577,0.585,6,3.8,8.6,3.3,16.9,0.89,0.81,0.74,7.1,125.2,108.1
266,Mil,Ersan Ilyasova,F,31,48,17.8,37,15.8,10.9,44,0.864,155,0.503,111,0.369,0.524,0.555,6.6,4.5,13,0.9,6.3,0.54,0.23,0.73,6.7,114,92.3
267,Uta,Joe Ingles,F,31,59,31.4,65.4,17.2,17.6,96,0.719,238,0.529,333,0.378,0.552,0.57,11.8,3.8,6.7,5,23.2,1.32,0.2,2.22,7.7,108.1,101.7
268,Lal,Brandon Ingram,F,21,49,33.5,69.8,23.2,13.8,270,0.67,587,0.516,87,0.322,0.512,0.549,17.8,5,7.8,3,13.1,0.57,0.59,2.59,7.7,103.1,105.6
269,Bos,Kyrie Irving,G,26,49,32.8,68.3,29.5,11.7,178,0.871,589,0.538,305,0.413,0.566,0.6,23.8,4.8,7.8,7,35.6,1.65,0.49,2.63,11.3,119.3,103.8
270,Orl,Jonathan Isaac,F,21,55,26.2,54.6,16.2,10.9,107,0.85,255,0.506,172,0.297,0.481,0.529,9.1,5.3,10.9,1,5.3,0.84,1.31,1.05,5.6,104.6,103.2
